team,season,total_vorp,top_player_vorp,vorp_concentration,avg_age,avg_bpm,current_wins,predicted_wins,win_delta
OKC,2027,22.2,7.8,0.3514,26.07,2.2639,63.6,68.4,4.8
SAS,2027,20.26,6.6,0.3258,28.13,1.8725,59.6,64.6,5.0
DET,2027,18.89,4.83,0.2557,26.87,1.527,60.1,61.7,1.6
BOS,2027,18.32,3.3,0.1802,27.67,1.6591,57.7,58.8,1.1
NYK,2027,17.29,3.3,0.1909,27.33,1.2513,58.8,58.0,-0.8
CLE,2027,15.69,4.2,0.2678,28.75,0.913,53.2,55.3,2.1
CHO,2027,15.58,3.57,0.2291,25.4,0.9444,50.5,54.0,3.5
HOU,2027,15.28,4.07,0.2664,29.07,0.9816,55.6,53.5,-2.1
MIN,2027,14.48,3.68,0.2539,28.8,0.6986,53.9,52.6,-1.3
DEN,2027,14.28,8.28,0.5798,28.12,0.7371,54.3,52.5,-1.8
TOR,2027,14.32,4.41,0.3079,26.5,0.7481,48.1,51.4,3.3
MIA,2027,13.06,2.4,0.1838,26.64,0.5189,46.1,48.4,2.3
LAL,2027,12.46,6.93,0.5564,27.53,0.435,48.7,48.0,-0.7
ATL,2027,10.87,4.2,0.3864,26.76,-0.0627,45.9,45.3,-0.6
ORL,2027,11.65,2.31,0.1984,25.64,0.3105,40.5,44.8,4.3
POR,2027,11.02,3.68,0.3335,26.2,0.1496,42.9,44.2,1.3
PHO,2027,11.32,2.73,0.2413,27.14,0.3649,43.4,43.7,0.3
PHI,2027,9.49,5.14,0.5424,27.71,-0.1249,42.2,41.4,-0.8
GSW,2027,8.81,1.62,0.1844,30.47,0.0535,38.0,37.8,-0.2
LAC,2027,7.14,4.24,0.5938,29.8,-0.3466,38.7,35.2,-3.5
NOP,2027,5.31,2.73,0.5141,26.27,-0.8869,30.7,31.7,1.0
DAL,2027,5.02,2.3,0.4586,28.25,-0.8606,27.9,30.9,3.0
CHI,2027,2.98,2.2,0.7395,26.07,-1.288,27.3,26.4,-0.9
IND,2027,3.19,1.26,0.395,27.43,-1.1162,23.9,26.1,2.2
MEM,2027,3.17,1.89,0.5962,25.07,-1.1913,20.6,26.1,5.5
UTA,2027,2.45,1.6,0.6544,26.46,-1.3794,20.3,25.2,4.9
MIL,2027,1.69,2.7,1.6024,28.38,-1.4493,24.8,23.5,-1.3
BRK,2027,-1.54,2.1,2.1,24.31,-2.2396,19.3,16.9,-2.4
SAC,2027,-1.38,0.72,0.715,29.0,-1.9669,17.3,16.5,-0.8
WAS,2027,-2.81,1.03,1.035,23.58,-2.7219,8.9,15.8,6.9
