season,team_abbr,wins,total_vorp,top_player_vorp,vorp_concentration,avg_age,avg_bpm
2000,ATL,27.7,3.1,3.6,1.1613,26.07,-1.389
2000,BOS,40.5,8.6,3.5,0.407,26.13,-0.2759
2000,CHH,49.2,12.8,5.2,0.4062,27.65,0.574
2000,CHI,17.1,-2.0,2.9,2.9,26.95,-2.4585
2000,CLE,32.6,5.2,2.3,0.4423,26.75,-0.9416
2000,DAL,40.1,9.7,3.8,0.3918,26.35,-0.0412
2000,DEN,36.7,7.9,2.0,0.2532,25.94,-0.459
2000,DET,46.2,11.4,4.7,0.4123,27.87,0.3074
2000,GSW,20.5,0.6,1.4,1.4,27.09,-1.917
2000,HOU,39.5,9.2,3.7,0.4022,27.65,-0.1681
2000,IND,53.8,15.4,4.0,0.2597,29.0,1.0686
2000,LAC,11.7,-3.4,2.3,2.3,25.82,-2.7545
2000,LAL,63.3,20.8,9.3,0.4471,27.93,2.1588
2000,MIA,51.8,13.6,4.6,0.3382,28.38,0.703
2000,MIL,42.8,10.0,3.9,0.39,28.67,-0.0169
2000,MIN,49.3,13.8,6.6,0.4783,27.0,0.7266
2000,NJN,40.3,8.5,2.8,0.3294,28.4,-0.3268
2000,NYK,45.3,11.8,2.8,0.2373,29.06,0.3306
2000,ORL,42.6,10.9,4.9,0.4495,25.63,0.1756
2000,PHI,44.4,11.5,3.3,0.287,26.56,0.2483
2000,PHO,55.0,16.5,4.1,0.2485,29.18,1.2814
2000,POR,60.4,18.5,4.3,0.2324,30.14,1.6873
2000,SAC,47.2,13.9,5.7,0.4101,28.14,0.7589
2000,SAS,59.0,17.5,5.9,0.3371,30.4,1.5339
2000,SEA,43.8,11.3,7.6,0.6726,28.07,0.2756
2000,TOR,42.3,9.6,5.2,0.5417,28.62,-0.088
2000,UTA,54.6,15.9,6.6,0.4151,30.0,1.1809
2000,VAN,29.1,3.1,3.5,1.129,27.27,-1.3392
2000,WAS,34.0,5.5,1.5,0.2727,27.38,-0.8628
2001,ATL,27.6,2.8,2.6,0.9286,26.35,-1.4447
2001,BOS,36.8,6.7,5.0,0.7463,26.29,-0.6482
2001,CHH,50.3,12.1,4.3,0.3554,28.75,0.3582
2001,CHI,17.5,-2.2,3.0,3.0,23.06,-2.4403
2001,CLE,30.3,4.3,3.5,0.814,27.5,-1.1744
2001,DAL,53.4,16.0,5.3,0.3313,26.9,1.1949
2001,DEN,35.9,7.5,2.5,0.3333,28.22,-0.4988
2001,DET,37.5,7.4,4.6,0.6216,27.71,-0.5192
2001,GSW,17.6,0.0,1.7,1.7,27.45,-2.077
2001,HOU,48.3,13.8,7.0,0.5072,27.0,0.7279
2001,IND,42.9,9.2,3.5,0.3804,27.2,-0.2079
2001,LAC,34.6,7.1,4.6,0.6479,24.73,-0.5676
2001,LAL,50.6,14.8,6.8,0.4595,28.13,0.9525
2001,MIA,48.9,12.1,3.8,0.314,29.44,0.4619
2001,MIL,54.0,14.2,6.0,0.4225,27.33,0.8086
2001,MIN,46.7,12.6,6.2,0.4921,28.2,0.5027
2001,NJN,27.9,3.0,3.7,1.2333,27.26,-1.4132
2001,NYK,49.9,12.9,3.3,0.2558,29.38,0.5759
2001,ORL,44.6,10.4,5.9,0.5673,27.12,0.0908
2001,PHI,54.1,14.7,5.1,0.3469,27.47,0.9285
2001,PHO,47.8,13.5,5.3,0.3926,28.88,0.6969
2001,POR,53.6,16.1,4.5,0.2795,31.25,1.1771
2001,SAC,57.4,17.8,4.9,0.2753,27.43,1.5267
2001,SAS,64.6,20.7,5.9,0.285,29.67,2.1463
